,nni_counter,nni_mean,nni_min,nni_max,hr_mean,hr_min,hr_max,hr_std,nni_diff_mean,nni_diff_min,nni_diff_max,sdnn,sdnn_index,sdann,rmssd,sdsd,nn50,pnn50,nn20,pnn20,tri_index
0,375.0,797.2,722.5,840.0,75.29910122100722,71.42857142857143,83.04498269896193,1.6508226549522267,6.9959728660041085,0.0,117.0,17.285780068726844,,,10.857744232898742,8.3145545832664,1.0,0.267379679144385,5.0,1.3368983957219251,5.514705882352941
1,388.0,767.615979381443,598.320705216931,817.5,78.25410991951449,73.39449541284404,100.2806680043707,2.7206004926380234,9.046549131494464,0.0,161.0,25.592115758383194,,,18.163550293907083,15.770770056136218,7.0,1.8087855297157622,19.0,4.909560723514212,5.388888888888889
2,375.0,795.5666666666667,589.7110482811331,830.0,75.48406238839459,72.28915662650603,101.74474460820375,2.3572393899040085,6.649934408115298,0.0,165.0,22.551419323093487,,,14.135065176664881,12.489817464296234,2.0,0.53475935828877,6.0,1.6042780748663104,4.6875
3,368.0,810.6589673913044,621.7660347722558,875.0,74.08058468213632,68.57142857142857,96.499320716316,2.293289998678984,7.918581767431612,0.0,188.0,23.809644072376937,,,16.101156240632097,14.038529075946999,2.0,0.544959128065395,14.0,3.8147138964577656,4.906666666666666
4,375.0,795.5133333333333,633.8587393119815,832.5,75.46355841557907,72.07207207207207,94.65831466665061,1.8091038225917495,7.431225656098798,0.0,188.0,17.97223049354318,,,15.765611392117266,13.922991866981699,2.0,0.53475935828877,3.0,0.8021390374331552,5.28169014084507
5,368.0,810.570652173913,780.0,830.0,74.03019658382195,72.28915662650603,76.92307692307692,0.7852856039138844,4.604904632152588,0.0,20.0,8.562188444735144,,,5.948805205984358,3.7711919133298264,0.0,0.0,0.0,0.0,2.6285714285714286
6,393.0,758.2188295165396,580.6903016133583,830.0,79.38505046217183,72.28915662650603,103.32530065217081,4.510205028035288,7.202515955480992,0.0,134.0,42.62257028067423,,,12.405693381122116,10.11365046169229,2.0,0.5102040816326531,10.0,2.5510204081632653,9.13953488372093
7,406.0,734.6274348081602,616.7725011587536,820.0,81.76948521326192,73.17073170731707,97.28060165989203,2.816732335609472,9.984931421423344,0.0,120.0,24.99064734421186,,,16.238487191520314,12.821681857572626,10.0,2.4691358024691357,36.0,8.88888888888889,7.381818181818182
8,412.0,724.3567961165048,652.5,785.0,83.08829702237063,76.43312101910828,91.95402298850574,4.667717810333905,5.786935049590181,0.0,22.0,39.88138303495012,,,7.138022470686783,4.183938287186547,0.0,0.0,1.0,0.24330900243309003,6.866666666666666
9,392.0,760.204081632653,598.6684896923034,812.5,78.99664622249647,73.84615384615384,100.22241195763968,2.441559283020442,8.331075593729341,0.0,161.0,22.111329730335278,,,16.509452221725457,14.271513685030419,4.0,1.0230179028132993,16.0,4.092071611253197,5.681159420289855
10,413.0,723.274818401937,652.5,780.0,83.08069033094179,76.92307692307692,91.95402298850574,3.2158887986051705,6.833991657242814,0.0,23.0,28.1349280511574,,,8.686447684408462,5.368508639006449,0.0,0.0,8.0,1.9417475728155338,9.386363636363637
11,378.0,790.0793650793651,702.3984529275331,857.5,76.10626718849089,69.97084548104957,85.42160044619324,3.561095818856894,8.137527108954346,0.0,140.0,36.636879717109565,,,14.137561376311426,11.576128445630683,3.0,0.7957559681697612,11.0,2.9177718832891246,10.216216216216216
12,359.0,831.4972144846797,797.5,860.0,72.17355201669461,69.76744186046511,75.23510971786834,1.0290675966368732,5.844972067039106,0.0,20.0,11.800423391524175,,,7.312602957304136,4.400517524224881,0.0,0.0,0.0,0.0,3.860215053763441
13,372.0,801.4247311827957,740.0,847.5,74.9497222462633,70.79646017699115,81.08108108108108,2.5131241553805,6.192994711248784,0.0,27.0,26.569095090143787,,,7.761970895396791,4.685529253626178,0.0,0.0,2.0,0.5390835579514826,8.08695652173913
14,382.0,780.0719895287958,740.0,827.5,76.97171279473957,72.50755287009063,81.08108108108108,2.0699647635403204,5.544619422572178,0.0,25.0,21.065882015073466,,,7.0947613355080765,4.432199674628669,0.0,0.0,2.0,0.5249343832020997,6.063492063492063
15,371.0,803.9218328840971,760.0,832.5,74.65828017616032,72.07207207207207,78.94736842105263,1.3561499808855653,5.744179687086434,0.0,20.0,14.363587933344128,,,7.150426445212159,4.264051944692296,0.0,0.0,0.0,0.0,3.5673076923076925
16,366.0,814.9248633879781,724.0146407461725,842.5,73.64103680312537,71.21661721068249,82.87125235225044,1.0516189223699157,6.953402715175746,0.0,91.0,11.371258140938417,,,10.346363764209666,7.671941769086973,2.0,0.547945205479452,2.0,0.547945205479452,2.8818897637795278
17,371.0,803.2142857142857,757.5,840.0,74.72797790334943,71.42857142857143,79.20792079207921,1.4614670336972713,7.398648648648648,0.0,22.0,15.497228547843408,,,8.82353272389975,4.814288051478988,0.0,0.0,2.0,0.5405405405405406,4.416666666666667
18,365.0,817.2739726027397,782.5,870.0,73.44557896647493,68.96551724137932,76.6773162939297,1.49716949365926,8.839285714285714,0.0,27.0,16.858338558567723,,,10.856993745361246,6.3127507100279106,0.0,0.0,18.0,4.945054945054945,3.65
19,378.0,790.244708994709,639.4679856270668,852.5,75.99468594815589,70.38123167155425,93.82799662935992,2.3261145136263583,6.934485627350896,0.0,126.0,23.52099416421769,,,11.47684344270018,9.15714294696059,2.0,0.5305039787798408,5.0,1.3262599469496021,5.4
20,373.0,800.7037533512064,723.4874329090962,850.0,74.9969460866426,70.58823529411765,82.93164092532177,2.1838687327282766,5.67953774557961,0.0,25.0,23.128923940805294,,,7.259114959521642,4.526885117316475,0.0,0.0,3.0,0.8064516129032258,6.543859649122807
21,361.0,826.1565096952909,772.5,865.0,72.66926944701348,69.36416184971098,77.66990291262135,1.7998378820416485,6.978104573565263,0.0,50.0,20.17232048478638,,,9.32954847307293,6.201076206768007,1.0,0.2777777777777778,10.0,2.7777777777777777,5.46969696969697
22,401.0,743.4788029925186,499.06213211116847,923.9488522155884,80.82781404165925,64.93865959800985,120.22551129291996,3.3619754726674214,10.760419258307575,0.0,235.0,28.49946321304921,,,22.21486717671009,19.459197104304568,10.0,2.5,36.0,9.0,5.418918918918919
23,393.0,758.7086513994911,530.550619699934,834.8770204213652,79.25968256982065,71.86687204508013,113.09005733314284,3.8753197633161247,6.984797218060173,0.0,206.0,35.219543810983865,,,15.32121608788227,13.65385848351876,3.0,0.7653061224489796,4.0,1.0204081632653061,7.86
24,387.0,770.7364341085271,715.0,855.5366275026536,77.90992458453738,70.13142169627787,83.91608391608392,2.188941828372156,5.914167918703762,0.0,43.0,22.017018867210012,,,7.780579793013583,5.062255372701919,0.0,0.0,6.0,1.5544041450777202,4.777777777777778
25,389.0,767.2750642673521,720.0,810.0,78.24644683823337,74.07407407407408,83.33333333333333,1.938508023444625,5.129383126815773,0.0,33.0,18.910923261477063,,,6.84535285512122,4.5388743969954195,0.0,0.0,2.0,0.5154639175257731,6.174603174603175
26,393.0,757.5132113579326,697.5,864.6760503985307,79.29825027159868,69.39014903020141,86.02150537634408,2.6725396471330574,7.396475993172108,0.0,81.0,26.097394067868706,,,11.518504091393055,8.841237822755167,4.0,1.0204081632653061,16.0,4.081632653061225,5.103896103896104
27,369.0,806.3821138211382,745.0,842.5,74.44696717849048,71.21661721068249,80.53691275167785,1.7545075968180899,6.511301915144938,0.0,28.0,18.698195673880665,,,8.261587277744745,5.091878448713479,0.0,0.0,4.0,1.0869565217391304,3.8842105263157896
28,357.0,837.2829131652661,743.603201135149,870.0,71.68048647959593,68.96551724137932,80.68819487114482,1.218216875703126,5.879458414211808,0.0,112.0,13.880319469689974,,,10.216457798116894,8.366876411766105,2.0,0.5617977528089888,3.0,0.8426966292134831,3.1043478260869564
29,359.0,830.0696378830083,800.0,852.5,72.29272753374875,70.38123167155425,75.0,0.8382160558118993,4.818435754189944,0.0,15.0,9.569761363277,,,5.8971634124254315,3.404642704314241,0.0,0.0,0.0,0.0,3.234234234234234
30,369.0,809.349593495935,736.6635646783689,845.0,74.18538083482085,71.00591715976331,81.44830676700606,1.9797760736177397,5.588914821016327,0.0,75.0,21.237585321111276,,,8.57178730138416,6.508046009067441,2.0,0.5434782608695652,2.0,0.5434782608695652,6.254237288135593
31,361.0,824.7299168975069,780.0,857.5,72.76870264650509,69.97084548104957,76.92307692307692,1.138578752429294,5.9375,0.0,22.0,12.797017545062221,,,7.177075774064718,4.037547916184707,0.0,0.0,1.0,0.2777777777777778,4.056179775280899
32,369.0,808.1436314363143,762.5,845.0,74.26478373482789,71.00591715976331,78.68852459016394,1.2413319606917743,7.757873791775234,0.0,42.0,13.423759044077121,,,9.824343661556577,6.035902827692345,0.0,0.0,10.0,2.717391304347826,3.5142857142857142
33,373.0,799.9195710455764,760.0,832.5,75.02785421546058,72.07207207207207,78.94736842105263,1.243258434097596,7.412634408602151,0.0,22.0,13.108581603036251,,,8.89473234228328,4.922830529952211,0.0,0.0,1.0,0.2688172043010753,3.73
34,377.0,791.9297082228117,757.5,835.0,75.78427453935444,71.8562874251497,79.20792079207921,1.2278274450458304,7.728574272378342,0.0,30.0,12.921153818298949,,,9.450691008136152,5.446429360745505,0.0,0.0,10.0,2.6595744680851063,3.968421052631579
35,383.0,778.4334203655352,690.0,810.0,77.1049454136718,74.07407407407408,86.95652173913044,1.4762224829083588,6.22567103773834,0.0,55.0,14.32413720989368,,,8.690574568320285,6.071540829900844,1.0,0.2617801047120419,5.0,1.3089005235602094,3.419642857142857
36,388.0,769.3298969072165,558.0424615494776,795.0,78.0184424110096,75.47169811320755,107.51869998100535,1.6871176437734723,6.251251580870406,0.0,224.0,13.156184222362912,,,16.751711882492994,15.561730635706752,2.0,0.516795865633075,2.0,0.516795865633075,2.5194805194805197
37,391.0,762.3017902813299,742.5,777.5,78.714647658574,77.17041800643086,80.8080808080808,0.6691665041899404,4.9423076923076925,0.0,17.0,6.46804546762698,,,6.280055936383255,3.8795992435670694,0.0,0.0,0.0,0.0,2.196629213483146
38,396.0,753.989898989899,654.253043101111,790.0,79.6056514071969,75.9493670886076,91.70763610911834,1.552140355272011,5.887252891041037,0.0,57.0,14.135188463460775,,,8.237893920139344,5.769525248214934,2.0,0.5063291139240507,6.0,1.5189873417721518,2.788732394366197
