,fft_ratio,fft_total,fft_nfft,fft_window,fft_resampling_frequency,fft_interpolation,fft_peak_VLF,fft_peak_LF,fft_peak_HF,fft_abs_VLF,fft_abs_LF,fft_abs_HF,fft_rel_VLF,fft_rel_LF,fft_rel_HF,fft_log_VLF,fft_log_LF,fft_log_HF
0,1.8254239951746274,317.9029169631793,4096.0,hamming,4.0,cubic,0.0068359375,0.046875,0.2822265625,210.83850740147273,69.17119079363653,37.89321876807001,66.32166493328931,21.75858952613769,11.919745540572986,5.3510924726670925,4.236584457928188,3.634772171754184
1,0.5631966972027019,478.6564497355606,4096.0,hamming,4.0,cubic,0.0029296875,0.0400390625,0.216796875,362.48000104926246,41.85665969608807,74.31978899021013,75.72863611250173,8.744614163083414,15.526749724414865,5.89296930325356,3.73425091679826,4.308377255295553
2,2.1833486369117456,243.23897747683748,4096.0,hamming,4.0,cubic,0.0029296875,0.0546875,0.23828125,172.87452539942868,48.26054198050175,22.103910096907036,71.07188461022483,19.84079298520213,9.087322404573046,5.152566044641623,3.8766142905627876,3.0957545203357464
3,1.1841921203267447,871.5175892073861,4096.0,hamming,4.0,cubic,0.0078125,0.0400390625,0.2265625,663.2674811654293,112.90588163260432,95.34422640935247,76.10488754089832,12.955089263922734,10.940023195178954,6.497178349497395,4.7265545657473345,4.557493778659385
4,0.7112402752803176,281.8805168142652,4096.0,hamming,4.0,cubic,0.00390625,0.0419921875,0.25,217.9765623623867,26.560306470352128,37.343647981526416,77.32941773553449,9.422540717084418,13.248041547381098,5.384387544910106,3.27941786333504,3.6201628296867097
5,1.2414866851268505,45.53077062938433,4096.0,hamming,4.0,cubic,0.0107421875,0.052734375,0.24609375,24.873317097294308,11.441492683801075,9.215960848288942,54.6296861517247,25.1291434905278,20.241170357747492,3.2137956263758674,2.4372464567932024,2.220936855711975
6,1.203828176717236,1813.7744018437124,4096.0,hamming,4.0,cubic,0.00390625,0.0703125,0.3056640625,1683.4626129752546,71.18204806327087,59.12974080518687,92.8154356607969,3.924526004497246,3.2600383347058566,7.428608030439623,4.265240652683999,4.0797340263492075
7,1.2445272234062468,504.3491057528783,4096.0,hamming,4.0,cubic,0.00390625,0.0439453125,0.34375,424.9202866710967,44.04104643483546,35.38777264694618,84.25122238231938,8.732254292211387,7.0165233254692305,6.051901590558805,3.7851220725811703,3.5663663550200275
8,1.2030370101551908,745.8398524337778,4096.0,hamming,4.0,cubic,0.0029296875,0.04296875,0.2685546875,697.5436594631351,26.3736411714605,21.922551799182237,93.52458938563747,3.5360997518970985,2.93931086246544,6.547565105948965,3.2723650709035734,3.087515869500478
9,0.9026070625431217,395.8330286221858,4096.0,hamming,4.0,cubic,0.0048828125,0.0478515625,0.2783203125,331.993536407204,30.28579977275431,33.5536924422275,83.87211586734081,7.651155306107986,8.476728826551204,5.805115500073971,3.410678948297999,3.513146915252302
10,2.5549672038392894,839.6296941626023,4096.0,hamming,4.0,cubic,0.00390625,0.05078125,0.3857421875,785.5256011136828,38.88479848257629,15.219294566343166,93.55619585335417,4.6311842890880275,1.8126198575578016,6.666353049288921,3.6606033897386285,2.7225640022360724
11,6.690763209458277,662.3554263435497,4096.0,hamming,4.0,cubic,0.0029296875,0.041015625,0.25,494.6478078893737,145.90124971200413,21.806368742171813,74.68011708155169,22.02763711281626,3.2922458056320525,6.203846010119613,4.982930021030124,3.082202071265576
12,1.5445134638029825,168.1531479340418,4096.0,hamming,4.0,cubic,0.0107421875,0.0400390625,0.271484375,110.37778780523465,35.0695026237511,22.70585750505607,65.64122596653999,20.855692001381463,13.503082032078554,4.703908916183726,3.5573318816663178,3.122622931071107
13,1.673333519861102,432.1573034063582,4096.0,hamming,4.0,cubic,0.0029296875,0.076171875,0.23046875,383.691747361249,30.336296944049792,18.12925910105949,88.78520490962593,7.019734875456801,4.195060214917278,5.949839488971694,3.4123449145284552,2.897527158022155
14,3.429208056374592,385.12927564949655,4096.0,hamming,4.0,cubic,0.00390625,0.0498046875,0.2177734375,313.5280438267396,55.43553562799201,16.165696194764937,81.40852011262817,14.394007190054154,4.197472697317672,5.747888810064995,4.01522082544862,2.782891478283706
15,1.7867351963129743,178.60243584152963,4096.0,hamming,4.0,cubic,0.0048828125,0.0400390625,0.244140625,123.68336604308794,35.21175427341331,19.70731552502838,69.25066025013776,19.7151590388476,11.034180711014653,4.817724800211719,3.5613799550844005,2.980989913260056
16,0.38271491767573834,117.12500304069849,4096.0,hamming,4.0,cubic,0.00390625,0.041015625,0.2705078125,71.64839631663722,12.58724815656657,32.88935856749469,61.172588650214074,10.746849801312504,28.08056154847341,4.271770771841382,2.532684250421814,3.4931491576542912
17,0.6614947188638268,282.8589698775898,4096.0,hamming,4.0,cubic,0.0068359375,0.0400390625,0.2568359375,219.33188646033162,25.292184024559756,38.23489939269844,77.54107517087043,8.941623465398752,13.517301363730835,5.390586045950031,3.230495416168622,3.6437486952045988
18,1.2477665621627745,184.95516032540155,4096.0,hamming,4.0,cubic,0.0185546875,0.0830078125,0.2685546875,74.45498955363124,61.34018564170931,49.15998513006099,40.25569733909482,33.164895498882125,26.579407162023045,4.310194775737696,4.116435185119565,3.8950799822173363
19,4.168525558769296,399.3076615120248,4096.0,hamming,4.0,cubic,0.0322265625,0.046875,0.212890625,289.8113602599176,88.31109088464996,21.185210367457284,72.5784622219652,22.1160522065241,5.305485571510705,5.66923022946305,4.480865704304992,3.053303314048445
